Feature,Description,Process,Resolution,Value
Engraved details,"The recessed or sunken features on the surface of a part — like text, logos, symbols, or patterns that are carved into the model rather than raised above it.",Binder Jetting,,0.019 in
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",DMLS,,0.078 in
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",SLA,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",SLS,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",MJF,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",Carbon DLS,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",PolyJet,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",FDM (Industrial),,0.393 in
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",FMD (in-house),,0.393 in
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",Material Jetting,,
Horizontal bridges,"The flat, horizontal span of material that connects two points without any support underneath ",Binder Jetting,,
Moving Parts,The components within a single printed object that are designed to move relative to each other,DMLS,,
Moving Parts,The components within a single printed object that are designed to move relative to each other,SLA,,0.019 in
Moving Parts,The components within a single printed object that are designed to move relative to each other,SLS,,0.011 in for moving parts & 0.004 in for connections
Moving Parts,The components within a single printed object that are designed to move relative to each other,MJF,,
Moving Parts,The components within a single printed object that are designed to move relative to each other,Carbon DLS,,
Moving Parts,The components within a single printed object that are designed to move relative to each other,PolyJet,,
Moving Parts,The components within a single printed object that are designed to move relative to each other,FDM (Industrial),,0.019 in
Moving Parts,The components within a single printed object that are designed to move relative to each other,FMD (in-house),,0.019 in
Moving Parts,The components within a single printed object that are designed to move relative to each other,Material Jetting,,0.008 in
Moving Parts,The components within a single printed object that are designed to move relative to each other,Binder Jetting,,0.008 in
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,DMLS,,0.196 in
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,SLA,,0.157 in
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,SLS,,0.196 in
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,MJF,,0.196 in
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,Carbon DLS,,
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,PolyJet,,
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,FDM (Industrial),,
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,FMD (in-house),,
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,Material Jetting,,
Escape Holes,The purposeful openings added to a model to allow trapped material (like liquid resin or unsintered powder) to drain or escape from internal cavities.,Binder Jetting,,
